sample,set,dna,ct
Std2,1,100000,21.12
Std2,1,100000,21.05
Std2,1,100000,21.15
Std1,1,1000000,17.76
Std1,1,1000000,17.81
Std1,1,1000000,17.07
Std0,1,10000000,15.41
Std0,1,10000000,15.18
Std0,1,10000000,15.45
Test,1,,17.51
Test,1,,16.72
Test,1,,17.69
Std2,2,1000000,21.34
Std2,2,1000000,21.45
Std2,2,1000000,21.17
Std3,2,100000,24.82
Std3,2,100000,24.56
Std3,2,100000,24.68
Std1,2,10000000,16.83
Std1,2,10000000,17.66
Std1,2,10000000,17.7
Test,2,,20.72
Test,2,,20.62
Test,2,,20.68
Std3,3,100000,25.01
Std3,3,100000,24.84
Std3,3,100000,24.87
Std2,3,1000000,20.38
Std2,3,1000000,21.74
Std2,3,1000000,21.32
Std1,3,10000000,18.73
Std1,3,10000000,16.52
Std1,3,10000000,18.4
Test,3,,16.43
Test,3,,16.16
Test,3,,15.12
Std3,4,100000,25.95
Std3,4,100000,25.19
Std3,4,100000,25.19
Std3,4,1000000,21.24
Std2,4,1000000,21.22
Std2,4,1000000,21.4
Std3Spike,4,1100000,21.74
Std3Spike,4,1100000,21.77
Std3Spike,4,1100000,21.07
Test,4,,20.19
Test,4,,19.86
Test,4,,19.45